Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,57.15,1.65,12.91,6.34,0.11,3.4,5.28,1.69,7.29,0.65,282,683,1007,53,20,139,481,31,238,,,28.6,831,43,21.4,2.75,75,163,19.7,73,11.9,2.47,7.9,1.1,5.3,0.98,2.41,0.36,2.04,0.29,18.6,17.7,3.9,
Lustrino et al. 2016 JVGR,Turkey West,Orogenic,Lamproite,51.78,1.46,10.07,6.68,0.1,10.69,6.45,1.18,6.36,0.59,331,476,249,,,115,719,34,49,,,21,538,40,,,79,,,,,,,,,,,,,,,28,10,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,49.3,1.05,11.3,6.74,0.1,13.6,7.65,1.6,5.94,1.1,379,825,3950,,30.8,149,922,57.4,303,,,29,463,36.1,11.3,2.38,86.7,219,,142,29,4.82,,1.61,,,,,1.68,,28,135,23.1,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,50.3,1.15,10.2,6.95,0.12,11.5,6.64,0.85,7.39,1.27,395,829,4293,,25,155,640,33,300,,,32,593,34.1,16.1,2.43,117,273,,174,34.2,6.15,,1.99,,,,,2.04,,36,155,28.3,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,48.8,1.19,10.9,7.1,12,11.3,7.78,1.41,6.47,1.33,321,756,4213,,29,181,560,34,270,,,32,472,28.3,13,1.97,107,256,,159,32.4,6.07,,2,,,,,2.19,,44,127,22.6,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,55.1,1.31,10.2,4.68,0.08,8.94,4.02,1.13,9.24,1.13,555,799,3797,,13,83,470,25,280,,,31,665,34.4,18.1,2.73,106,260,,169,33.6,5.88,,1.85,,,,,1.93,,45,134,22.4,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,56,1.24,11,5.15,0.09,9.27,3.11,1.29,9.07,1.09,646,550,3533,,16.6,95,571,41.1,260,,,29,638,36.4,16.6,2.28,97.6,256,,168,34,5.24,,1.77,,,,,1.58,,32,135,24.2,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,49.61,1.18,11.3,7.31,0.11,11.82,8.35,1.29,6.13,1.16,317,790,4400,9.1,32.7,207.6,932.8,,356.4,,,28.1,359.2,32.3,9.81,1.6,123.57,291.74,37.62,166.25,31.63,5.34,16.43,,7.02,,2.35,,1.84,0.25,32,125.58,22.27,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,54.83,1.24,10.1,4.89,0.08,8.7,4.25,1.13,8.6,1.03,607,847,3514,29.1,15.3,91.2,507.3,,308.1,,,27.9,665.4,40,18.25,2.19,95.06,254.07,34.55,159.94,31.85,5.16,16.16,,6.93,,2.28,,1.75,0.23,129,137.36,30.61,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,55.21,1.26,10.26,5.06,0.09,8.69,4.03,1.16,8.82,1.02,546,815,3116,,16,85,414,,298,,,24,673,35,,,,,,,,,,,,,,,,,229,163.7,31.2,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,55.21,1.26,10.26,5.06,0.09,8.69,4.03,1.16,8.82,1.02,546,815,3116,,16,85,414,,298,,,24,673,35,,,,,,,,,,,,,,,,,229,163.7,31.2,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,54.83,1.24,10.1,4.89,0.08,8.7,4.25,1.13,8.6,1.03,607,847,3514,29.1,15.3,91.2,507.3,,308.1,,,27.9,665.4,40,18.25,2.19,95.06,254.07,34.55,159.94,31.85,5.16,16.16,,6.93,,2.28,,1.75,0.23,129,137.36,30.61,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,50.23,1.06,10.21,7.19,0.12,11.11,6.75,0.67,7.19,1.12,408,821,4406,12.3,27.2,162.9,779.6,,366.3,,,32.7,732.9,50.1,19.14,2.57,124.85,300.48,40.82,183.34,36.5,5.86,18.38,,7.91,,2.69,,2.15,0.29,132,162.53,31.74,
Lustrino et al. 2016 JVGR,W Alps ,Orogenic,Lamproite,49.61,1.18,11.3,7.31,0.11,11.82,8.35,1.29,6.13,1.16,317,790,4400,9.1,32.7,207.6,932.8,,356.4,,,28.1,359.2,32.3,9.81,1.6,123.57,291.74,37.62,166.25,31.63,5.34,16.43,,7.02,,2.35,,1.84,0.25,32,125.58,22.27,
Lustrino et al. 2016 JVGR,France (Corsica - Sisco),Orogenic,Lamproite,56.73,2.27,10.6,4.66,0.07,7.13,3.65,1.1,10.46,0.64,370,839,1235,,,89,425,,239,,,28,1257,61,,,188,337,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,France (Corsica - Sisco),Orogenic,Lamproite,57.83,2.15,10.65,4.65,0.07,6.88,3.53,1.3,10.15,0.66,342,847,1230,,,85,400,,283,,,25,1384,66,,,188,333,,,,,,,,,,,,,,53,,
Lustrino et al. 2016 JVGR,France (Corsica - Sisco),Orogenic,Lamproite,57.89,2.37,10.47,4.97,0.08,6.38,3.64,1.06,10.49,0.82,343,812,1267,5.9,10,89,425,19,271,,,26,1351,66,25,3,183,302,,111,19,2.5,,0.8,,,,,1.1,,,41,5.5,
Lustrino et al. 2016 JVGR,France (Corsica - Sisco),Orogenic,Lamproite,58.29,2.31,10.82,5.36,0.07,7.05,2.93,1.01,10.35,0.76,317,681,925,2.6,13,92,411,27,272,,,16,906,48,26.6,3.1,135,301.7,33.4,125.1,16.3,2.6,8.2,1,4,0.75,1.5,0.2,1.3,0.2,11.4,36.8,4.3,
Lustrino et al. 2016 JVGR,France (Corsica - Sisco),Orogenic,Lamproite,58.63,2.35,10.8,5.13,0.08,6.47,3.15,0.88,10.7,0.71,376,847,1329,,,93,421,,254,,,27,1302,64,,,193,344,,,,,,,,,,,,,,43,,
Lustrino et al. 2016 JVGR,France (Corsica - Sisco),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,France (Corsica - Sisco),Orogenic,Lamproite,58.5,2.27,10.84,3.5,0.06,6.63,3.12,1.02,10.73,0.67,318,640,1450,2,12,84,340,19,230,30,100,19,1040,55,32.1,4,183,367,41.6,146,19.1,3.5,11.3,1.1,4.6,0.79,2.1,0.3,1.6,0.2,12,37.9,4.6,23
Lustrino et al. 2016 JVGR,France (Corsica - Sisco),Orogenic,Lamproite,58.5,2.27,10.84,3.47,0.06,6.63,3.12,1.02,10.73,0.67,317,681,925,2.6,13,92.4,529.6,,322.4,,,16.3,995.9,57.8,26.57,3.1,135.02,301.7,33.37,125.05,16.29,2.65,8.17,,3.96,,1.47,,1.26,0.18,25,36.82,4.29,
Lustrino et al. 2016 JVGR,Greece,Orogenic,Lamproite,49.72,1.07,11.72,7.42,0.13,12.03,8.5,1.81,3.72,1.11,116,759,2520,4.4,27,165,814,41,298,47,74,17,322,24.1,9.9,1,30.6,67.4,8.64,37.2,6.76,1.8,5.15,0.69,3.51,0.62,1.8,0.26,1.6,0.23,30,14.3,3.24,17
Lustrino et al. 2016 JVGR,Greece,Orogenic,Lamproitic rock,57.15,0.95,15.19,6.28,0.1,3.64,6.97,2.88,3.47,0.63,134,797,2160,10.2,19,140,39,26,161,37,86,22,285,20.4,8.6,1.01,45.4,86.5,10.1,39.9,7.17,1.76,5.84,0.8,4.32,0.81,2.48,0.38,2.42,0.35,39,18,3.11,20
Lustrino et al. 2016 JVGR,Greece,Orogenic,Lamproitic rock,55.14,1.16,12.54,5.26,0.12,3.64,8.96,2.2,4.95,0.57,239,538,1130,15.4,19,124,528,24,199,53,78,20,407,38,12.7,2.51,53.8,126,15.6,63.1,10.5,2.06,7.02,0.86,4.19,0.74,2.17,0.32,1.87,0.29,24,34.5,6.26,20
Lustrino et al. 2016 JVGR,Greece,Orogenic,Lamproitic rock,53.69,0.68,15.81,7.39,0.12,7.73,8.52,2.8,1.72,0.17,57,564,1090,1.5,26,157,336,29,160,56,80,18,98,8.7,3.2,0.41,25.5,47.7,5.37,21.5,4.3,1.13,3.8,0.59,3.44,0.67,2,0.32,1.94,0.29,34,8.3,1.86,18
Lustrino et al. 2016 JVGR,Greece,Orogenic,Lamproitic rock,49.78,0.89,14.29,8.13,0.14,9.69,10.5,2.33,1.79,0.35,78,464,927,1.4,31,198,751,45,244,72,75,17,120,10.6,3.7,0.57,16.2,33.9,4.15,18,3.77,1.17,3.67,0.56,3.26,0.63,1.91,0.3,1.83,0.26,32,6.5,1.59,16
Lustrino et al. 2016 JVGR,Greece,Orogenic,Lamproitic rock,49.07,1.11,13.94,7.71,0.12,9.74,9.25,2.17,2.52,0.67,71,602,1530,3.2,30,200,654,41,214,31,77,18,206,24.2,6,1.17,24.8,52.7,6.33,27.4,5.3,1.52,4.56,0.62,3.49,0.66,1.92,0.3,1.81,0.26,26,11.6,2.86,16
Lustrino et al. 2016 JVGR,Greece,Orogenic,Lamproitic rock,53.47,0.67,16.31,6.56,0.12,7.04,8.29,3.05,1.65,0.19,54,574,830,6.2,22,137,460,24,162,40,73,7,122,11.3,3.7,0.65,23.7,46.5,5.14,20.3,3.91,1.17,3.79,0.57,3.22,0.63,1.96,0.3,1.9,0.29,35,9.5,2.39,17
Lustrino et al. 2016 JVGR,Greece,Orogenic,Lamproitic rock,64.89,0.45,14.94,2.8,0.05,0.67,1.3,3.33,4.23,0.08,211,234,1530,16,7,18,,3,9,15,51,25,375,21.8,10.9,1.33,95.3,173,17.5,60.1,8.95,1.47,6.61,0.87,4.57,0.87,2.73,0.44,2.76,0.41,61,51.9,8.84,20
Lustrino et al. 2016 JVGR,Pannonian Basin,Orogenic,Lamproite,52.74,2.99,9.34,6.7,0.09,11.73,3.43,1.27,8.67,2.15,205,868,2750,,14,162,539,39,478,53,99,21.54,1243,68,,,125,258,,121,15,3.7,10.9,1.2,5.13,2.01,,,1.29,0.17,11,16.3,,
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,53.33,1.68,10.87,6.21,0.1,8.13,6.69,2.22,4.47,0.97,790,1421,3340,27,17.3,131.3,370,27.6,236.9,,,25,974,47.3,26.32,2.5,200,452,57.2,218.7,31.2,5.47,15.46,1.57,6.33,0.979,2.16,0.285,1.65,0.229,127.5,130.7,14,22.1
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54,1.62,11.09,6.05,0.09,7.74,6.83,1.33,7.33,0.76,550,1564,3931,4.3,16.9,128,368.6,26.6,226.9,,,25.2,994,48.8,26.45,2.5,200,456,57,217.1,31,5.47,15.21,1.56,6.33,0.972,2.16,0.282,1.65,0.227,128.5,131.9,9.6,22.3
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,56.72,1.58,13.4,6.03,0.07,5.13,5.27,2.08,8.02,0.67,576,1196,2531,7.3,15,124.3,239.1,19.3,132.3,,,25.4,784,34,21.72,1.89,138,337,46.8,196.1,32,4.93,15.27,1.51,6.12,0.961,2.2,0.298,1.74,0.243,85.2,150.8,13.7,23.8
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.36,1.45,12.18,6.45,0.1,6.34,6.74,2.29,6.99,0.87,391,1633,3452,17.1,17.6,119.7,320.9,24.5,174.8,,,25.8,962,34.9,23.27,1.83,165,364,44.8,168.6,24.6,4.73,12.96,1.4,6.02,0.979,2.35,0.313,1.87,0.274,107.7,112,10.9,20.6
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.72,1.43,11.53,6.8,0.08,6.6,7.06,2.26,6.34,0.9,611,1260,3051,52.7,20.3,140,342.8,32.7,187.9,,,23.9,783,46.4,21.01,2.49,154,359,46.6,182.8,28.2,4.6,13.71,1.41,5.78,0.91,2.1,0.279,1.69,0.24,101.5,183.1,17,20.2
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,56.64,1.61,13.49,6.11,0.07,4.65,5.42,2.04,8.05,0.69,598,1207,2537,6.6,14.8,114.3,239.2,22.1,124.5,,,24.1,787,34.5,21.63,1.89,133,329,45.8,189.6,30.8,4.8,14.67,1.44,5.87,0.922,2.11,0.283,1.7,0.237,89.4,152,13.6,23.8
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,60.7,1.06,13.29,4.57,0.07,3.47,4.04,2.78,8.21,0.7,939,1004,2835,36.7,19.5,122.3,564.6,36.2,338.6,,,28.6,966,54.2,27.02,2.9,156,397,56.5,241.3,42.7,5.93,20,1.89,7.28,1.086,2.42,0.317,1.88,0.26,101.2,224.3,22,20.5
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,60.92,1.22,14.16,4.28,0.06,2.74,3.26,2.49,9.17,0.58,441,1370,2369,13.1,8.7,70.6,89.4,11.6,55.6,,,19.9,990,63,25.8,3.24,241,469,54.5,185.6,22.9,3.9,11.01,1.15,4.67,0.731,1.68,0.229,1.37,0.189,132.8,145.1,16,27.1
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,62.62,0.92,13.79,3.83,0.07,2.57,2.58,2.65,8.74,0.51,442,930,2869,10.5,7.7,65,75.9,10.7,51,,,16.9,340,56.5,12.29,2.86,204,418,47.2,165.4,21.8,3.91,10.51,1.08,4.29,0.638,1.42,0.183,1.07,0.146,109.5,153,14.5,24.1
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.28,1.6,12.82,6.66,0.11,5.66,6.48,1.59,8.1,1.22,880,810,2989,22.3,18.8,136,313,25.9,186,,,36.1,1101,73.2,30.1,4.06,139,351,54.7,244,46.4,6.83,26.2,2.43,9.56,1.44,3.33,0.406,2.43,0.327,166,204.4,22.4,27.9
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.42,1.62,12.75,6.45,0.11,5.87,6.48,1.79,7.92,1.22,702,798,2939,25.9,18.3,137,299,24.1,176,,,34.9,893,68.5,25,3.9,138,352,54.8,247,45.7,6.72,26,2.43,9.5,1.42,3.24,0.389,2.36,0.317,116,187.6,28.2,27.2
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,55.2,1.66,12.98,6.55,0.1,5.71,6.1,1.66,8.29,1.06,784,704,2498,15,18.5,141,286,23.8,158,,,32.2,806,66.3,23.3,3.77,139,334,52,231,42.9,6.2,24.6,2.2,8.65,1.34,3.01,0.373,2.27,0.306,81.2,154,23.7,27.4
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.18,1.53,13.59,7.01,0.12,5.95,6.54,1.61,7.5,0.93,712,660,2134,24.2,18.6,147,297,24.8,172,,,29.6,834,54.9,22.8,3.21,123,290,45.1,199,36.8,5.36,21.1,1.97,7.81,1.23,2.86,0.345,2.13,0.295,82.4,166.6,20.2,24.9
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.37,1.51,13.7,6.96,0.11,5.74,6.36,1.67,7.62,0.94,781,739,2346,32.3,20.1,164,329,27,202,,,32.9,884,57.9,24.2,3.37,133,310,48.2,215,40.6,5.91,22.9,2.17,8.63,1.36,3.12,0.403,2.4,0.341,105,202.3,23.3,27
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,55.66,1.52,13.71,6.46,0.09,4.95,5.78,1.81,8.2,0.9,785,688,2151,26.6,17.4,134,269,21.7,151,,,32.7,917,70.7,25.8,3.62,143,329,50.3,221,40.4,5.8,23.2,2.17,8.67,1.37,3.12,0.397,2.33,0.326,158,184.1,27.7,27.4
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54,1.59,12.79,6.55,0.12,6.05,6.64,1.51,8.04,1.26,871,844,3167,22.2,19.3,151,326,25,179,,,35.5,983,65.8,26.6,3.59,140,347,53.5,236,45,6.73,25.8,2.38,9.46,1.45,3.24,0.393,2.34,0.331,150,219.1,23.9,27
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.15,1.6,12.76,6.38,0.12,5.84,6.67,1.46,8.27,1.2,564,1072,3819,13.7,18.2,137,316,23.6,174,,,35.4,1000,73.8,27.2,3.72,141,344,52.1,234,43.7,6.68,24.9,2.31,9.13,1.39,3.21,0.391,2.3,0.321,166,202.3,29.4,27.1
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.07,1.62,12.64,6.43,0.12,5.9,6.79,1.37,8.36,1.38,538,911,3336,15.1,19.5,135,324,25.3,188,,,35.6,935,70.9,26.2,3.88,135,361,56.3,247,47.5,7.06,26.9,2.47,9.69,1.49,3.29,0.4,2.36,0.318,110,213.5,21.9,28
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,53.9,1.63,12.73,6.48,0.11,6.03,6.59,1.34,8.61,1.26,529,861,3263,17.2,19.1,145,322,25.8,188,,,35.5,965,75,26.5,4.17,139,354,54.2,243,45.7,6.86,26.6,2.45,9.61,1.43,3.34,0.404,2.31,0.315,144,139.3,24.5,28.1
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,53.5,1.6,12.57,6.52,0.1,6.32,7.12,1.61,7.7,1.32,811,855,3287,20.4,19.5,142,357,25.8,194,,,34.5,749,50.4,20.6,2.7,138,336,53.1,237,45.1,6.75,25.9,2.37,9.14,1.38,3.16,0.377,2.15,0.298,125,231.7,18.2,26.6
Lustrino et al. 2016 JVGR,China,Orogenic,Lamproite,54.58,1.61,12.78,6.58,0.11,5.88,6.37,1.61,8.32,1.16,795,790,2968,16.3,20.1,152,351,25.7,193,,,37.4,853,80.6,24.4,4.54,140,361,56.3,254,48,6.9,27.7,2.52,9.84,1.51,3.47,0.422,2.5,0.351,147,198.6,24,29.4
Lustrino et al. 2016 JVGR,Peru,Orogenic,Lamproite,56.3,1.51,12.9,5.53,0.08,7.58,3.43,1.48,7.94,1.16,658,928,5180,32,,113,449,27,209,,,32,755,34,21,2.48,88,223,31.2,130,25.9,4.67,15.3,1.8,7.57,1.06,2.78,0.38,2.18,0.3,,104,19.66,
Lustrino et al. 2016 JVGR,Canada,Orogenic,Lamproite,49.39,1.72,12.97,8.49,0.07,6.13,2.62,1.63,10.68,1.83,406,2162,5109,2,18.6,176,561,41.7,116,62,93,21.3,440,24.1,14.4,1.1,104.7,226.5,28.9,112.9,15.37,3.22,9.61,1.02,4.36,0.68,1.74,0.27,1.69,0.23,42.2,43.3,12.5,19.2
Lustrino et al. 2016 JVGR,Canada,Orogenic,Lamproite,40.41,1.42,10.64,7.28,0.15,5.03,12.73,0.89,8.96,1.54,327,1919,4333,2.4,21,161,470,38.6,105,93.2,88,23.7,436,21.8,12.7,0.9,94.6,215.9,28.2,114.6,16.05,3.4,10.13,1.08,4.85,0.74,1.78,0.28,1.57,0.22,35.4,40.5,13.5,14.5
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,51.96,1.37,13.89,7.48,0.13,6.8,6.99,3.97,3.46,1.23,185,921,1593,10.4,21.9,157.7,278.8,,180.8,,,25.7,296.3,25,7.59,1.45,41.8,83.97,10.06,40.6,7.33,1.91,5.91,,4.89,,2.32,,2.51,0.38,29,21.93,6.38,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,51.96,1.37,13.89,7.48,0.13,6.8,6.99,3.97,3.46,1.23,185,921,1593,10.4,21.9,157.7,278.8,,180.8,,,25.7,296.3,25,7.59,1.45,41.8,83.97,10.06,40.6,7.33,1.91,5.91,,4.89,,2.32,,2.51,0.38,24,21.21,6.05,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,51.92,1.18,14.52,6.99,0.13,6.6,7.01,3.24,4.07,1.29,72,978,1946,3.2,20.4,149.7,261.4,,176.2,,,23.5,287,25.9,7.49,1.41,43.93,87.63,10.37,41.52,7.21,1.96,5.77,,4.41,,2.34,,2.33,0.35,25,21.83,6.28,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,50.2,0.94,14.71,7.09,0.13,7.52,9.29,3.44,3.64,1.04,294,1178,1559,7,21.6,136.7,165.5,,151.3,,,24.9,273.2,22.4,6.85,1.39,56.61,110.16,13.02,51.99,8.33,2.08,6.29,,4.79,,2.39,,2.51,0.37,34,25.12,7.13,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.31,1.37,11.04,7.28,0.12,9.66,8.48,1.55,6.09,1.48,169,986,2063,8.3,27.9,167,398.7,,149.3,,,20.5,431,25.4,11.54,1.24,54.79,124.21,16.78,70.34,10.59,2.32,6.61,,4.27,,2,,1.77,0.25,23,42.91,6.38,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.68,1.43,11.29,7.31,0.12,9.38,8.74,1.29,6,1.44,224,957,1975,10.4,27.7,165.2,382.2,,117.5,,,20.2,440.2,26.7,11.95,1.28,54.05,122.33,16.43,68.21,10.35,2.25,6.51,,4.19,,1.97,,1.83,0.28,21,44.81,6.83,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.12,1.18,12.23,7.91,0.13,9.16,7.81,2,6.96,1.6,257,1055,2528,11.6,26.6,168.3,392.8,,266.7,,,22.6,324.1,21.2,8.51,1.05,35.77,73.58,9.48,40.81,7.4,1.84,6.25,,4.53,,2.17,,2.08,0.31,40,21.15,5.83,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.93,1.18,12.38,7.75,0.14,9.44,7.71,2.28,6.91,1.64,259,1080,2579,14,24.4,167.4,367.4,,232.9,,,22.5,307.7,21.2,8.1,1.05,37.59,80.67,10.09,43.17,7.84,1.96,6.27,,4.55,,2.27,,2.05,0.27,42,24.67,8.42,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.56,1.13,12.31,7.92,0.14,9.84,7.84,2.52,6.76,1.59,217,1113,2463,8.6,25.2,151.5,316.1,,210.2,,,23.6,314.8,20.3,8.37,1.01,38.32,77.89,10.1,42.86,8.16,1.93,6.37,,4.68,,2.36,,2.09,0.32,1.69,21.73,4.49,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,47.55,1.11,11.6,7.37,0.12,9.91,7.9,1.47,6.18,1.57,278,1186,2393,13.3,24.9,150.8,364.4,,208.4,,,21.3,300.5,19.5,8.23,1.03,34.16,71.46,9.3,40.08,7.38,1.82,5.92,,4.3,,2.05,,1.89,0.28,21.2,22.94,6.91,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.93,1.18,12.38,7.75,0.14,9.44,7.71,2.28,6.91,1.64,259,1080,2579,14,24.4,167.4,367.4,,232.9,,,22.5,307.7,21.2,8.1,1.05,37.59,80.67,10.09,43.17,7.84,1.96,6.27,,4.55,,2.27,,2.05,0.27,7.76,24.67,8.42,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.71,1.17,12.32,7.81,0.13,9.51,7.75,2.35,6.81,1.64,267,1031,2422,14.7,25.6,167.3,380.6,,233,,,22.5,307,20.8,8.3,1.09,36.44,77.37,9.88,42.45,8.24,1.9,6.29,,4.39,,2.19,,2.12,0.29,9.75,23.35,7.42,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.62,1.18,12.25,7.89,0.13,9.38,7.8,2.25,6.8,1.63,300,1040,2418,19.7,26.3,165.2,419.3,,220.4,,,22.2,298.3,20,7.98,0.99,35.99,76.25,9.67,42.1,7.91,1.88,6.17,,4.46,,2.17,,1.86,0.31,32.54,22.57,7.91,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.12,1.18,12.23,7.91,0.13,9.16,7.81,2,6.96,1.6,257,1055,2528,11.6,26.6,168.3,392.8,,266.7,,,22.6,324.1,21.2,8.51,1.05,35.77,73.58,9.48,40.81,7.4,1.84,6.25,,4.53,,2.17,,2.08,0.31,9.31,21.15,5.83,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.48,1.15,12.01,7.74,0.13,10.26,7.65,2.23,7.17,1.65,244,1055,2542,10.8,25.5,156.3,361.6,,241.5,,,22.4,317.1,20.7,8.45,1.07,36.61,76.03,9.68,41.47,7.71,1.86,6.27,,4.45,,2.22,,2.03,0.31,14.92,21.96,5.33,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.88,1.15,12.5,7.85,0.14,9.53,7.85,2.41,6.78,1.64,257,1061,2441,12.3,25.9,166,404.7,,240.6,,,22.3,316,21.3,8.13,0.99,36.16,75.83,9.63,41.67,7.52,1.85,6.05,,4.48,,2.2,,2.1,0.32,20.45,20.63,6.11,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.22,1.14,12.56,7.65,0.13,9.33,7.72,2.44,6.6,1.58,284,1027,2356,13.7,25.5,156.6,380,,214,,,22.6,318.4,21,8.39,1.04,35.9,73.94,9.4,40.75,7.57,1.82,6.1,,4.39,,2.22,,2.02,0.29,27.47,20.95,6.15,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.75,1.14,12.3,7.53,0.13,9.38,7.54,2.46,6.73,1.57,248,987,2295,14,24.1,158.2,350,,192.5,,,22.8,300.3,21.1,7.82,1.1,36.48,77.56,9.83,42.23,7.98,2.36,6.1,,4.42,,2.28,,2.07,0.31,13.08,24.1,9.45,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.35,1.16,12.06,7.78,0.13,9.9,8.53,2.17,6.63,1.65,344,1105,2554,14.7,31.5,170.5,421.2,,275.4,,,22.3,313.9,22.1,8.02,1.06,37.32,79.6,10.19,43.86,7.96,2.08,6.36,,4.48,,2.15,,2,0.29,28,24.15,5.9,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,53.58,1.12,13.01,6.58,0.12,7.43,6.17,2.69,5.89,1.06,224,1452,2446,3.8,21.2,110.2,343.7,,246.7,,,24.4,487.1,23.4,12.53,1.1,90.84,200.11,26.06,109,14.32,3.15,8.47,,4.94,,2.37,,2.25,0.32,30,64.27,6.81,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,52.71,1.2,11.99,7,0.13,9.01,6.55,2.64,5.65,1.19,277,1424,2506,4,25.4,138.4,439.3,,321.9,,,24.8,503.6,22.3,13.22,1.03,91.84,210.52,28.12,119.27,15.76,3.3,9.09,,5.09,,2.42,,2.23,0.33,31,70.27,6.92,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,53.58,1.12,13.01,6.58,0.12,7.43,6.17,2.69,5.89,1.06,224,1452,2446,3.8,21.2,110.2,343.7,,246.7,,,24.4,487.1,23.4,12.53,1.1,90.84,200.11,26.06,109,14.32,3.15,8.47,,4.94,,2.37,,2.25,0.32,16.16,64.27,6.81,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,53.24,1.09,12.59,6.69,0.13,8.39,6.36,2.8,5.65,1.05,216,1403,2326,9.4,25.4,123.6,386.1,,299,,,23.1,436.5,20.9,11.17,0.98,87.25,199.06,25.66,105.67,14,3.16,8.05,,4.93,,2.2,,2.06,0.29,16.31,59.79,5.95,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,53.7,1.11,12.88,6.62,0.13,7.95,6.31,2.96,5.89,1.11,231,1531,2576,3.5,21.5,125.2,367.8,,238.8,,,26,501.5,23.5,13.11,1.14,98.51,214.39,27.98,117.44,15.71,3.37,9.09,,5.31,,2.2,,2.35,0.34,20.51,71.61,6.41,
